Submission Number,Date,Rating,Status,Aircraft,Type Of Traveller,Seat Type,Route,Date Flown,Seat Comfort,Cabin Staff Service,Ground Service,Value For Money,Recommended
0,23rd February 2024,1,Trip Verified,Unknown,Couple Leisure,Economy Class,Pisa to London Heathrow,23-Sep,Unknown,Unknown,Unknown,1,no
1,21st February 2024,10,Trip Verified,A320,Couple Leisure,Business Class,Malaga to London Heathrow,24-Feb,5,5,4,4,yes
2,17th February 2024,3,Not Verified,A350,Couple Leisure,Economy Class,Phoenix to Lisbon via London,24-Feb,1,5,1,1,no
3,17th February 2024,3,Trip Verified,A320,Solo Leisure,Economy Class,London to Istanbul ,24-Feb,3,1,2,2,no
4,16th February 2024,2,Not Verified,Boeing 777,Solo Leisure,Premium Economy,"Austin, TX to Shannon, Ireland via Austin",24-Jan,3,5,4,2,no
5,11th February 2024,5,Trip Verified,A380,Solo Leisure,First Class,London to San Francisco,23-Nov,1,4,4,1,no
6,8th February 2024,1,Not Verified,Unknown,Couple Leisure,Economy Class,London Heathrow to Casablanca,24-Feb,Unknown,Unknown,1,1,no
7,6th February 2024,8,Trip Verified,Unknown,Family Leisure,Premium Economy,London Heathrow to Glasgow,24-Jan,4,3,5,4,yes
8,5th February 2024,1,Not Verified,Unknown,Couple Leisure,Economy Class,London Heathrow to Berlin,23-Oct,1,1,1,1,no
9,2nd February 2024,6,Trip Verified,A380-800,Couple Leisure,Business Class,London to Miami,24-Feb,3,4,2,3,no
10,30th January 2024,9,Trip Verified,Unknown,Solo Leisure,Business Class,Athens to London ,23-Dec,3,5,4,4,yes
11,29th January 2024,8,Trip Verified,Boeing 777-200,Family Leisure,Premium Economy,London Gatwick to Cancun,24-Jan,4,4,1,4,yes
12,28th January 2024,3,Trip Verified,Unknown,Business,Economy Class,London to Warsaw,24-Jan,3,3,1,3,yes
13,26th January 2024,2,Trip Verified,Unknown,Family Leisure,Business Class,London Heathrow to Miami,23-Dec,2,1,3,2,no
14,23rd January 2024,1,Trip Verified,Unknown,Solo Leisure,Economy Class,Boston to Düsseldorf via London,24-Jan,1,2,1,1,no
15,21st January 2024,6,Trip Verified,A350,Business,Economy Class,Sao Paulo to London Heathrow,24-Jan,3,4,3,3,no
16,18th January 2024,3,Trip Verified,A320,Couple Leisure,Economy Class,London Heathrow to Lisbon,24-Jan,1,4,3,4,no
17,18th January 2024,2,Not Verified,Unknown,Family Leisure,Economy Class,London to Hong Kong ,24-Jan,1,3,1,2,no
18,17th January 2024,1,Not Verified,Unknown,Family Leisure,Business Class,Dusseldorf (DUS) to Miami (MIA) ,24-Jan,1,1,1,1,no
19,16th January 2024,1,Not Verified,Unknown,Family Leisure,Business Class,Cairo to London Heathrow,24-Jan,1,1,1,1,no
20,15th January 2024,1,Trip Verified,Unknown,Family Leisure,Economy Class,Dublin  to London Heathrow,24-Jan,3,3,1,3,no
21,12th January 2024,4,Not Verified,Unknown,Business,Economy Class,Glasgow to London,24-Jan,3,4,4,3,no
22,12th January 2024,9,Trip Verified,A350-1000,Solo Leisure,Economy Class,Vancouver to London,24-Jan,4,5,5,5,yes
23,9th January 2024,1,Trip Verified,A320,Business,Business Class,Heathrow to Madrid,23-Oct,1,1,1,1,no
24,7th January 2024,9,Trip Verified,Boeing 777 -200,Couple Leisure,Business Class,London to New York,23-Nov,5,5,5,4,yes
25,3rd January 2024,6,Not Verified,Unknown,Family Leisure,Economy Class,Rome to London,24-Jan,4,5,1,2,no
26,2nd January 2024,1,Trip Verified,Unknown,Family Leisure,Business Class,Gatwick to Geneva,23-Dec,2,1,1,1,no
27,29th December 2023,8,Trip Verified,A320,Solo Leisure,Business Class,Istanbul to London Heathrow,23-Dec,1,4,2,4,yes
28,29th December 2023,6,Trip Verified,A320,Solo Leisure,Economy Class,London Heathrow to Istanbul,23-Dec,3,2,5,2,no
29,27th December 2023,2,Trip Verified,Boeing 777,Business,Business Class,Gatwick to St Lucia,23-Dec,1,5,1,2,no
30,27th December 2023,5,Not Verified,Boeing 777,Couple Leisure,Business Class,Sydney to London Heathrow,23-Dec,5,3,3,3,no
31,23rd December 2023,3,Trip Verified,Boeing 777,Business,Business Class,Lisbon to Houston via London Heathrow,23-Nov,1,2,3,1,no
32,21st December 2023,6,Not Verified,A350,Solo Leisure,Premium Economy,Vancouver to London Heathrow ,23-Dec,4,3,5,2,no
33,21st December 2023,10,Trip Verified,A329,Family Leisure,Business Class,London Heathrow to Stockholm,23-Dec,4,5,5,5,yes
34,21st December 2023,1,Trip Verified,Unknown,Solo Leisure,Economy Class,Indianapolis to Mumbai via London Heathrow ,23-Dec,1,1,1,1,no
35,20th December 2023,1,Not Verified,Unknown,Family Leisure,Premium Economy,Cyprus to New York,23-Dec,Unknown,Unknown,1,1,no
36,20th December 2023,6,Trip Verified,A321,Solo Leisure,Business Class,Gran Canaria  to London Gatwick,23-Dec,3,4,3,5,yes
37,18th December 2023,6,Not Verified,A320/Boeing 777,Couple Leisure,Business Class,Belfast City to Atlanta via London Heathrow  ,23-Nov,4,5,5,5,yes
38,17th December 2023,4,Not Verified,Boeing 787-8,Business,Business Class,London to Portland,23-Dec,3,3,3,2,no
39,15th December 2023,1,Trip Verified,Unknown,Solo Leisure,Economy Class,London to Frankfurt,23-Jun,1,Unknown,1,1,no
40,14th December 2023,8,Trip Verified,A350,Solo Leisure,Business Class,Cape Town to London Heathrow ,23-Dec,5,4,5,4,yes
41,12th December 2023,3,Trip Verified,Unknown,Couple Leisure,Business Class,Miami to Manchester via Heathrow,23-Dec,1,3,1,2,no
42,12th December 2023,4,Trip Verified,A380,Solo Leisure,Economy Class,Johannesburg to London ,23-Dec,2,4,4,3,no
43,10th December 2023,9,Trip Verified,Boeing 777,Solo Leisure,Economy Class,London Heathrow to Singapore,23-Dec,3,5,4,5,yes
44,10th December 2023,9,Trip Verified,A320,Solo Leisure,Business Class,Gatwick to Las Palmas,23-Dec,3,4,3,5,yes
45,9th December 2023,10,Trip Verified,A319,Couple Leisure,Economy Class,London Heathrow to Geneva,23-Dec,4,5,5,5,yes
46,6th December 2023,1,Trip Verified,Unknown,Solo Leisure,Economy Class,Madrid to San Francisco via London Heathrow,23-Nov,5,5,1,1,no
47,5th December 2023,1,Trip Verified,Unknown,Couple Leisure,Economy Class,Lisbon to London Heathrow,23-Nov,1,1,1,1,no
48,4th December 2023,7,Trip Verified,A380,Couple Leisure,Business Class,Miami to London Heathrow ,23-Nov,4,3,4,3,yes
49,3rd December 2023,1,Trip Verified,Unknown,Family Leisure,Economy Class,Palma de Mallorca to Gatwick,23-Dec,1,1,1,1,no
50,30th November 2023,5,Trip Verified,Boeing 787-9,Solo Leisure,Economy Class,London to Johannesburg,23-Nov,2,3,4,3,yes
51,26th November 2023,1,Trip Verified,Unknown,Family Leisure,Economy Class,Zürich to Tokyo Haneda via London,23-Jul,1,1,1,1,no
52,23rd November 2023,9,Trip Verified,A380,Couple Leisure,First Class,London to Miami,23-Nov,5,5,4,4,yes
53,19th November 2023,1,Trip Verified,Unknown,Couple Leisure,Economy Class,London to Stuttgart,23-Nov,1,1,1,1,no
54,19th November 2023,3,Trip Verified,A320,Business,Economy Class,Brussels to London,23-Nov,2,3,1,2,no
55,16th November 2023,8,Not Verified,A320,Couple Leisure,Business Class,London Heathrow to Dublin,23-Nov,3,3,4,3,yes
56,16th November 2023,1,Trip Verified,Unknown,Couple Leisure,Economy Class,London to Dublin,22-Dec,3,3,1,1,no
57,14th November 2023,1,Not Verified,Unknown,Couple Leisure,Economy Class,London to Lisbon,23-Nov,1,1,1,1,no
58,12th November 2023,1,Trip Verified,A320,Solo Leisure,Economy Class,Bucharest to Manchester via London,23-Sep,1,1,1,1,no
59,8th November 2023,8,Trip Verified,Boeing 777-300,Couple Leisure,Premium Economy,Manchester to Cape Town via London,23-Nov,5,5,4,4,yes
60,7th November 2023,7,Trip Verified,A320,Solo Leisure,Economy Class,Seville to London Gatwick ,23-Nov,3,3,3,3,yes
61,5th November 2023,2,Not Verified,Boeing 777,Family Leisure,Economy Class,London Heatrow to Atlanta,23-Nov,4,5,3,5,yes
62,5th November 2023,3,Trip Verified,Unknown,Couple Leisure,Economy Class,Gatwick to Antalya,23-Oct,3,3,3,1,no
63,4th November 2023,8,Not Verified,A320,Couple Leisure,Business Class,Dublin to London Heathrow,23-Nov,3,3,4,3,yes
64,31st October 2023,1,Trip Verified,Unknown,Couple Leisure,Economy Class,Anchorage to Heathrow via Barcelona,23-Oct,3,3,1,1,no
65,28th October 2023,6,Trip Verified,A320,Solo Leisure,Economy Class,London Heathrow to Gibraltar,23-Oct,3,1,3,2,no
66,24th October 2023,8,Trip Verified,Unknown,Couple Leisure,Economy Class,London to Philadelphia,23-Oct,4,5,5,5,yes
67,23rd October 2023,7,Not Verified,A321 neo,Business,Economy Class,London Heathrow to Cairo,23-Oct,3,5,5,2,yes
68,22nd October 2023,1,Not Verified,Unknown,Couple Leisure,Economy Class,Seattle to Porto via Heathrow,23-Oct,2,3,1,1,no
69,22nd October 2023,8,Not Verified,A320,Couple Leisure,Economy Class,Malta to London Gatwick,23-Oct,4,5,4,4,yes
70,21st October 2023,3,Not Verified,Unknown,Solo Leisure,Economy Class,London to Amsterdam,23-Oct,1,3,2,1,no
71,21st October 2023,4,Trip Verified,A380-800,Solo Leisure,Economy Class,San Francisco to London,23-Oct,3,2,2,3,no
72,19th October 2023,1,Trip Verified,Unknown,Solo Leisure,Business Class,İstanbul to London,23-Oct,2,1,2,1,no
73,19th October 2023,1,Not Verified,Unknown,Couple Leisure,Economy Class,London to Austin,23-Oct,1,1,1,1,no
74,17th October 2023,1,Trip Verified,A320,Solo Leisure,Economy Class,Geneva to London Heathrow,23-Oct,1,2,1,2,no
75,17th October 2023,1,Trip Verified,Unknown,Couple Leisure,Economy Class,Istanbul via London,23-Oct,1,3,1,1,no
76,16th October 2023,5,Trip Verified,A320,Couple Leisure,Business Class,Porto to London ,23-Sep,4,5,1,4,no
77,14th October 2023,3,Trip Verified,A320-232,Solo Leisure,Economy Class,London Heathrow to Geneva,23-Oct,2,4,1,4,no
78,14th October 2023,5,Trip Verified,A320,Business,Business Class,London to Istanbul,23-Oct,3,4,3,2,no
79,12th October 2023,4,Not Verified,Unknown,Couple Leisure,Economy Class,London Gatwick to Punta Cana,23-Oct,3,3,2,2,no
80,12th October 2023,1,Trip Verified,Unknown,Solo Leisure,Business Class,London to Hong Kong,23-Jul,1,5,5,1,no
81,11th October 2023,1,Trip Verified,A320,Couple Leisure,Economy Class,Catania to Gatwick,23-Oct,1,1,1,1,no
82,11th October 2023,2,Trip Verified,Unknown,Couple Leisure,Economy Class,Gatwick to Venice ,23-Sep,Unknown,Unknown,1,1,no
83,10th October 2023,1,Trip Verified,A321,Solo Leisure,Economy Class,Berlin to London,23-Oct,3,1,1,1,no
84,8th October 2023,1,Trip Verified,Unknown,Couple Leisure,Economy Class,Atlanta to Glasgow via London,23-Sep,3,3,1,3,no
85,7th October 2023,1,Trip Verified,Boeing 787,Couple Leisure,Economy Class,Singapore to Sydney,23-Oct,1,1,1,1,no
86,7th October 2023,10,Trip Verified,Boeing 777,Solo Leisure,First Class,London to New York JFK,23-Oct,5,5,5,5,yes
87,5th October 2023,1,Not Verified,BA366,Couple Leisure,Business Class,Heathrow to Marseille,23-Aug,1,1,1,1,no
88,3rd October 2023,2,Not Verified,A380,Couple Leisure,Economy Class,Chicago to Manchester via Heathrow,23-Oct,2,3,2,2,no
89,2nd October 2023,2,Trip Verified,A320,Business,Business Class,London Heathrow to Munich,23-Sep,2,1,1,1,no
90,2nd October 2023,2,Not Verified,A320,Couple Leisure,Business Class,Heathrow to Istanbul,23-Sep,2,3,1,1,no
91,2nd October 2023,3,Trip Verified,A320,Business,Economy Class,London to Geneva,23-Oct,4,4,1,1,no
92,30th September 2023,1,Trip Verified,Unknown,Couple Leisure,Business Class,Athens to London,23-Sep,1,1,1,1,no
93,30th September 2023,3,Trip Verified,Unknown,Business,Economy Class,Milan to San Jose via London,23-Sep,3,3,1,1,no
94,28th September 2023,4,Trip Verified,777-300 and A320,Couple Leisure,First Class,Dallas to Dubrovnik via Heathrow,23-Sep,1,4,3,2,no
95,28th September 2023,1,Trip Verified,A321,Business,Business Class,London to Seville,23-Sep,2,1,1,1,no
96,27th September 2023,1,Trip Verified,Unknown,Couple Leisure,Economy Class,London Heathrow to Tokyo,23-Sep,1,1,2,1,no
97,23rd September 2023,1,Trip Verified,Unknown,Solo Leisure,Business Class,Miami to Dublin via London Heathrow,23-Aug,1,3,1,1,no
98,22nd September 2023,1,Trip Verified,Unknown,Business,Business Class,Prague to San Francisco via London,23-Sep,1,3,1,1,no
99,22nd September 2023,1,Trip Verified,Unknown,Business,Economy Class,London to Glasgow,23-Sep,1,1,1,1,no
100,20th September 2023,1,Not Verified,Unknown,Family Leisure,Economy Class,San Diego to Marseille via London ,23-Aug,3,2,1,3,no
101,20th September 2023,1,Not Verified,A350,Business,Premium Economy,Hamburg to Las Vegas via London,23-Aug,2,2,1,1,no
102,19th September 2023,1,Not Verified,Unknown,Family Leisure,Economy Class,London to Los Angeles,23-Jul,Unknown,Unknown,Unknown,1,no
103,18th September 2023,6,Trip Verified,A320,Couple Leisure,Business Class,London Heathrow to Porto,23-Sep,3,4,4,4,yes
104,16th September 2023,1,Not Verified,Unknown,Couple Leisure,Economy Class,London to Dalaman,23-Sep,Unknown,Unknown,3,1,no
105,15th September 2023,2,Trip Verified,Unknown,Solo Leisure,Economy Class,Johannesburg to Milan via London,23-Sep,Unknown,Unknown,Unknown,2,no
106,13th September 2023,1,Trip Verified,Unknown,Business,Business Class,Madrid to Vancouver via London,23-Apr,3,3,1,1,no
107,11th September 2023,8,Trip Verified,Boeing 787,Couple Leisure,Business Class,London to Santiago,23-Sep,3,5,2,5,yes
108,10th September 2023,1,Not Verified,A320,Couple Leisure,Business Class,London Heathrow to Faro,23-Sep,Unknown,Unknown,1,1,no
109,9th September 2023,1,Not Verified,Unknown,Solo Leisure,Economy Class,Kuwait to Lisbon via London,23-Sep,3,1,3,3,no
110,6th September 2023,1,Trip Verified,A320,Couple Leisure,Economy Class,London to Munich,23-Sep,1,3,1,1,no
111,4th September 2023,1,Trip Verified,Unknown,Solo Leisure,Economy Class,Frankfurt to London City,23-Sep,1,Unknown,1,1,no
112,4th September 2023,8,Trip Verified,A321,Couple Leisure,Business Class,London to Keflavik,23-Aug,3,4,4,4,yes
113,4th September 2023,8,Trip Verified,Boeing 777-200,Couple Leisure,Business Class,Mumbai to London,23-Aug,4,3,4,4,yes
114,4th September 2023,2,Trip Verified,Unknown,Business,Premium Economy,Houston to London Heathrow,23-Sep,2,4,4,1,no
115,2nd September 2023,1,Trip Verified,A380,Solo Leisure,Business Class,London to Miami,23-Sep,1,1,3,1,no
116,1st September 2023,1,Trip Verified,Boeing 777,Unknown,Economy Class,Los Angeles to London,23-Aug,1,1,1,1,no
117,1st September 2023,1,Trip Verified,Unknown,Couple Leisure,Economy Class,New York JFK to Malaga via London,23-Jun,1,3,1,1,no
118,31st August 2023,1,Trip Verified,Unknown,Couple Leisure,Premium Economy,Chicago to Rome via London,23-Jul,3,1,1,1,no
119,30th August 2023,1,Trip Verified,A320,Solo Leisure,Business Class,London to Malaga,23-Aug,1,1,1,1,no
120,30th August 2023,1,Trip Verified,Unknown,Solo Leisure,Economy Class,Frankfurt to London Heathrow,23-Aug,1,1,1,1,no
121,28th August 2023,1,Trip Verified,A320,Couple Leisure,Business Class,Tenerife to Gatwick,23-Aug,1,3,1,1,no
122,27th August 2023,3,Trip Verified,A320,Business,Business Class,London Heathrow to Malaga ,23-Aug,2,2,1,2,no
123,27th August 2023,1,Not Verified,Unknown,Couple Leisure,Economy Class,Newark to London,23-Jun,Unknown,Unknown,Unknown,1,no
124,27th August 2023,1,Trip Verified,Unknown,Business,Business Class,London to Johannesburg,23-Aug,3,2,2,1,no
125,26th August 2023,8,Trip Verified,Boeing 777-300,Couple Leisure,Business Class,LHR to LAX,23-Aug,4,5,5,4,yes
126,26th August 2023,1,Trip Verified,Unknown,Family Leisure,Economy Class,Delhi to Vancouver via London,22-Dec,1,1,1,1,no
127,25th August 2023,1,Trip Verified,Unknown,Solo Leisure,Economy Class,Copenhagen to London,23-Jun,Unknown,Unknown,Unknown,1,no
128,24th August 2023,4,Trip Verified,A320neo,Solo Leisure,Business Class,Larnaca to London Heathrow,23-Jul,3,3,3,1,yes
129,19th August 2023,7,Trip Verified,A380,Family Leisure,Economy Class,Washington to London,23-Aug,4,5,1,4,yes
130,13th August 2023,8,Trip Verified,A380,Family Leisure,Business Class,London to Miami,23-Aug,4,5,4,4,yes
131,12th August 2023,2,Not Verified,Unknown,Family Leisure,Economy Class,London to Paris,23-Aug,1,1,1,1,no
132,11th August 2023,2,Not Verified,Unknown,Family Leisure,Economy Class,London to Algiers,23-Aug,1,1,1,1,no
133,8th August 2023,10,Trip Verified,Embraer-190,Couple Leisure,Economy Class,Edinburgh to London City,23-Jul,4,4,5,5,yes
